id,developer
1,Nintendo
2,NeversoftEntertainment
3,RockstarNorth
4,Namco
5,1EADTokyo
6,RockstarGames
7,Treyarch
8,RareLtd.
9,RetroStudios
10,DMADesign
11,BungieSoftware
12,VisualConcepts
13,ValveSoftware
14,"IrrationalGames,2KMarin"
15,NaughtyDog
16,Capcom
17,RocksteadyStudios
18,BioWare
19,BethesdaGameStudios
20,PolyphonyDigital
21,KCEJ
22,"SCE/WWS,MediaMolecule"
23,RockstarSanDiego
24,EASports
25,VicariousVisions
26,Atlus
27,"KojimaProductions,MobyDickStudio"
28,2DBoy
29,IrrationalGames
30,SquareSoft
31,InfinityWard
32,SCESantaMonica
33,GREZZO
34,MattMakesGamesInc.
35,"DigitalExtremes,2KMarin"
36,EATiburon
37,EpicGames
38,BethesdaSoftworks
39,MPSLabs
40,idSoftware
41,"BungieSoftware,Bungie"
42,TeamNinja
43,Smilebit
44,LucasArts
45,UbisoftMontreal
46,CriterionGames
47,BlizzardEntertainment
48,Aspect
49,KojimaProductions
50,FiraxisGames
51,SegaAM2
52,CDProjektRedStudio
53,GameArts
54,Relic
55,UbisoftShanghai
56,RockstarLeeds
57,"LarianStudiosGames,BlitWorks,TheDragonCommanders"
58,NamcoBandaiGames
59,SupergiantGames
60,LarianStudiosGames
61,NumberNoneInc.
62,MoonStudios
63,EASportsBig
64,MojangAB
65,"tobyfox,8-4"
66,EACanada
67,"DMADesign,RockstarNorth"
68,Raster
69,CloverStudio
70,4JStudios
71,KCET
72,Overworks
73,IntelligentSystems
74,HarmonixMusicSystems
75,MelbourneHouse
76,Konami
77,Sega
78,"1,HALLabs,BandaiNamcoGames,SoraLtd."
79,"HotheadGames,NumberNoneInc."
80,Psygnosis
81,CapcomR&DDivision1
82,PLAYDEAD
83,Ubisoft
84,PlaygroundGames
85,TrickyPixels
86,FromSoftware
87,SiliconKnights
88,Maxis
89,MicrosoftGameStudios
90,GiantSparrow
91,"LookingGlassStudios,IrrationalGames"
92,SquareEnix
93,HALLabs
94,Hitmaker
95,CreativeAssembly
96,Turn10
97,tobyfox
98,LookingGlassStudios
99,EnsembleStudios
100,TelltaleGames
101,Stardock
102,BandaiNamcoGames
103,TOSE
104,"1,PlatinumGames"
105,ThatGameCompany
106,MonolithSoft
107,DreamworksInteractive
108,NanaOn-Sha
109,BluepointGames
110,UBlartMontpellier
111,OutOfTheParkDevelopments
112,UbisoftMontpellier
113,Headgate
114,AsoboStudio
115,ArkaneStudios
116,MediaMolecule
117,BackboneEntertainment
118,ElectronicArts
119,PlatinumGames
120,"1C,1CEntertainment"
121,CamelotSoftwarePlanning
122,VolitionInc.
123,InsomniacGames
124,IncognitoInc.
125,CoreDesignLtd.
126,SCEJapanStudio
127,PopCap
128,GearboxSoftware
129,"Sega,Tantalus"
130,MotionTwin
131,CardboardComputer
132,Crytek
133,ReadyatDawn
134,SCEA
135,"BluepointGames,SCEJapanStudio"
136,Funcom
137,Bungie
138,MonolithProductions
139,ParadoxInteractive
140,DigitalIllusions
141,PolytronCorp.
142,BlackIsleStudios
143,Guerrilla
144,CrystalDynamics
145,Codemasters
146,KleiEntertainment
147,ZA/UM
148,Image&Form
149,"Mossmouth,Bitworks"
150,KCEK
151,YachtClubGames
152,BizarreCreations
153,UbisoftParis
154,AlphadreamCorporation
155,SCEI
156,Eidetic
157,"Ubisoft,RedLynx"
158,"DerekYu,Mossmouth"
159,LionheadStudios
160,"1,HexaDrive"
161,EnhanceGames
162,SCEASanDiegoStudios
163,Factor5
164,increpare
165,FuturLab
166,SecretLevel
167,IonStorm
168,"PolytronCorp.,BlitWorks"
169,KnockoutGames
170,Starbreeze
171,AtlusCo.
172,TeamCherry
173,Yuke's
174,"PlatinumGames,NexEntertainment"
175,TeamMeat
176,VisceralGames
177,HexaDrive
178,LeadPursuit
179,NixxesSoftware
180,FreeRadicalDesign
181,ArenaNet
182,Genki
