,name,platform,company,release_date,score,user_score,developer,players,critics,users,year,genre
1,The Legend of Zelda: Ocarina of Time,Nintendo64,Nintendo,11/23/1998,99,9.1,Nintendo,1 Player,22,5749,1998,Action Adventure
2,Tony Hawk's Pro Skater 2,PlayStation,Sony,9/20/2000,98,7.4,NeversoftEntertainment,2 players,19,647,2000,Sports
3,Grand Theft Auto IV,PlayStation3,Sony,4/29/2008,98,7.6,RockstarNorth,1 Player,64,3806,2008,Action Adventure
4,SoulCalibur,Dreamcast,SEGA,9/8/1999,98,8.5,Namco,2 players,24,324,1999,Action
5,Grand Theft Auto IV,Xbox360,Microsoft,4/29/2008,98,7.9,RockstarNorth,1 Player,86,3364,2008,Action Adventure
6,Super Mario Galaxy,Wii,Nintendo,11/12/2007,97,9,Nintendo,No Online Multiplayer,73,3059,2007,Action
7,Super Mario Galaxy 2,Wii,Nintendo,5/23/2010,97,9.1,NintendoEADTokyo,No Online Multiplayer,87,2521,2010,Action
8,Red Dead Redemption 2,XboxOne,Microsoft,10/26/2018,97,7.8,RockstarGames,Up to 32 ,33,3186,2018,Action Adventure
9,Grand Theft Auto V,XboxOne,Microsoft,11/18/2014,97,7.8,RockstarNorth,Up to 30 ,14,1285,2014,Action Adventure
10,Grand Theft Auto V,PlayStation3,Sony,9/17/2013,97,8.3,RockstarNorth,Up to 16 ,50,4568,2013,Modern
11,Grand Theft Auto V,Xbox360,Microsoft,9/17/2013,97,8.3,RockstarNorth,Up to 16 ,58,3905,2013,Modern
12,Tony Hawk's Pro Skater 2,Dreamcast,SEGA,11/6/2000,97,6.2,Treyarch,No info,18,88,2000,Sports
13,The Legend of Zelda: Breath of the Wild,Switch,Nintendo,3/3/2017,97,8.6,Nintendo,No Online Multiplayer,109,15873,2017,Action Adventure
14,Tony Hawk's Pro Skater 3,PlayStation2,Sony,10/28/2001,97,7.6,NeversoftEntertainment,2 players,34,406,2001,Sports
15,Perfect Dark,Nintendo64,Nintendo,5/22/2000,97,8.9,RareLtd.,No info,30,420,2000,Action
16,Red Dead Redemption 2,PlayStation4,Sony,10/26/2018,97,8.4,RockstarGames,Up to 32 ,99,14315,2018,Action Adventure
17,Grand Theft Auto V,PlayStation4,Sony,11/18/2014,97,8.4,RockstarNorth,Up to 30 ,66,5899,2014,Action Adventure
18,Metroid Prime,GameCube,Nintendo,11/17/2002,97,9.2,RetroStudios,1 Player,70,1113,2002,Action
19,Grand Theft Auto III,PlayStation2,Sony,10/22/2001,97,8.4,DMADesign,1 Player,56,881,2001,Action Adventure
20,Super Mario Odyssey,Switch,Nintendo,10/27/2017,97,8.9,Nintendo,No Online Multiplayer,113,5546,2017,Action
21,Halo: Combat Evolved,Xbox,Microsoft,11/14/2001,97,8.5,BungieSoftware,4 players,68,2052,2001,Action
22,NFL 2K1,Dreamcast,SEGA,9/7/2000,97,6.4,VisualConcepts,No info,22,67,2000,Sports
23,Half-Life 2,PC,Desktop,11/16/2004,96,9.1,ValveSoftware,No Online Multiplayer,81,10773,2004,Action
24,Grand Theft Auto V,PC,Desktop,4/13/2015,96,7.8,RockstarNorth,Up to 32 ,57,6661,2015,Modern
25,The Legend of Zelda: Breath of the Wild,WiiU,Nintendo,3/3/2017,96,8.2,Nintendo,No Online Multiplayer,13,2245,2017,Fantasy
26,BioShock,Xbox360,Microsoft,8/21/2007,96,8.9,"IrrationalGames,2KMarin",No Online Multiplayer,88,2572,2007,Action
