id,developer
1,Nintendo
2,NeversoftEntertainment
3,RockstarNorth
4,Namco
5,NintendoEADTokyo
6,RockstarGames
7,Treyarch
8,RareLtd.
9,RetroStudios
10,DMADesign
11,BungieSoftware
12,VisualConcepts
13,ValveSoftware
14,"IrrationalGames,2KMarin"
15,NaughtyDog
16,Capcom
17,RocksteadyStudios
18,BioWare
19,BethesdaGameStudios
20,PolyphonyDigital
21,KCEJ
22,"SCE/WWS,MediaMolecule"
23,RockstarSanDiego
24,EASports
25,VicariousVisions
26,Atlus
27,"KojimaProductions,MobyDickStudio"
28,2DBoy
29,IrrationalGames
30,SquareSoft
31,InfinityWard
32,SCESantaMonica
33,GREZZO
34,MattMakesGamesInc.
35,"DigitalExtremes,2KMarin"
36,EATiburon
37,EpicGames
38,BethesdaSoftworks
39,MPSLabs
40,idSoftware
41,"BungieSoftware,Bungie"
42,TeamNinja
43,Smilebit
44,LucasArts
45,UbisoftMontreal
46,CriterionGames
47,BlizzardEntertainment
48,Aspect
49,KojimaProductions
50,FiraxisGames
51,SegaAM2
52,CDProjektRedStudio
53,GameArts
54,Relic
55,UbisoftShanghai
56,RockstarLeeds
57,"LarianStudiosGames,BlitWorks,TheDragonCommanders"
58,NamcoBandaiGames
59,SupergiantGames
60,LarianStudiosGames
61,NumberNoneInc.
62,MoonStudios
63,EASportsBig
64,MojangAB
65,"tobyfox,8-4"
66,EACanada
67,"DMADesign,RockstarNorth"
68,Raster
69,CloverStudio
70,4JStudios
71,KCET
72,Overworks
73,IntelligentSystems
74,HarmonixMusicSystems
75,MelbourneHouse
76,Konami
77,Sega
78,"Nintendo,HALLabs,BandaiNamcoGames,SoraLtd."
79,"HotheadGames,NumberNoneInc."
80,Psygnosis
81,CapcomR&DDivision1
82,PLAYDEAD
83,Ubisoft
84,PlaygroundGames
85,TrickyPixels
86,FromSoftware
87,SiliconKnights
88,Maxis
89,MicrosoftGameStudios
90,GiantSparrow
91,"LookingGlassStudios,IrrationalGames"
92,SquareEnix
93,HALLabs
94,Hitmaker
95,CreativeAssembly
