id,name,platform,r-date,score,user score,developer,genre,players,critics,users
1,The Legend of Zelda: Ocarina of Time,1,23-Nov-98,99,9.1,1,"Action Adventure,Fantasy",1 Player,22,5749
2,Tony Hawk's Pro Skater 2,2,20-Sep-00,98,7.4,2,"Sports,Alternative,Skateboarding",2 Player,19,647
3,Grand Theft Auto IV,3,29-Apr-08,98,7.6,3,"Action Adventure,Modern,Modern,Open-World",1 Player,64,3806
4,SoulCalibur,4,8-Sep-99,98,8.5,4,"Action,Fighting,3D",2 Player,24,324
5,Grand Theft Auto IV,5,29-Apr-08,98,7.9,3,"Action Adventure,Modern,Modern,Open-World",1 Player,86,3364
6,Super Mario Galaxy,6,12-Nov-07,97,9,1,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,73,3059
7,Super Mario Galaxy 2,6,23-May-10,97,9.1,5,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,87,2521
8,Red Dead Redemption 2,7,26-Oct-18,97,7.8,6,"Action Adventure,Open-World",Up to 32 ,33,3186
9,Grand Theft Auto V,7,18-Nov-14,97,7.8,3,"Action Adventure,Modern,Open-World",Up to 30 ,14,1285
10,Grand Theft Auto V,3,17-Sep-13,97,8.3,3,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,50,4568
11,Grand Theft Auto V,5,17-Sep-13,97,8.3,3,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,58,3905
12,Tony Hawk's Pro Skater 2,4,6-Nov-00,97,6.2,7,"Sports,Alternative,Skateboarding",No info,18,88
13,The Legend of Zelda: Breath of the Wild,8,3-Mar-17,97,8.6,1,"Action Adventure,Open-World",No Online Multiplayer,109,15873
14,Tony Hawk's Pro Skater 3,9,28-Oct-01,97,7.6,2,"Sports,Alternative,Skateboarding",2 Player,34,406
15,Perfect Dark,1,22-May-00,97,8.9,8,"Action,Shooter,First-Person,Sci-Fi",No info,30,420
16,Red Dead Redemption 2,10,26-Oct-18,97,8.4,6,"Action Adventure,Open-World",Up to 32 ,99,14315
17,Grand Theft Auto V,10,18-Nov-14,97,8.4,3,"Action Adventure,Modern,Open-World",Up to 30 ,66,5899
18,Metroid Prime,11,17-Nov-02,97,9.2,9,"Action,Shooter,First-Person,Sci-Fi",1 Player,70,1113
19,Grand Theft Auto III,9,22-Oct-01,97,8.4,10,"Action Adventure,Modern",1 Player,56,881
20,Super Mario Odyssey,8,27-Oct-17,97,8.9,1,"Action,Platformer,3D",No Online Multiplayer,113,5546
21,Halo: Combat Evolved,12,14-Nov-01,97,8.5,11,"Action,Shooter,First-Person,Sci-Fi",4 Player,68,2052
22,NFL 2K1,4,7-Sep-00,97,6.4,12,"Sports,Traditional,Football,Sim",No info,22,67
23,Half-Life 2,13,16-Nov-04,96,9.1,13,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,81,10773
24,Grand Theft Auto V,13,13-Apr-15,96,7.8,3,"Modern,Action Adventure,Open-World",Up to 32 ,57,6661
25,The Legend of Zelda: Breath of the Wild,14,3-Mar-17,96,8.2,1,"Fantasy,Fantasy,Action Adventure,Open-World",No Online Multiplayer,13,2245
26,BioShock,5,21-Aug-07,96,8.9,14,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,88,2572
27,GoldenEye 007,1,25-Aug-97,96,9,8,"Action,Shooter,First-Person,Modern",4 Player,21,668
28,Uncharted 2: Among Thieves,3,13-Oct-09,96,8.8,15,"Action Adventure,Modern,Modern,Linear",No Online Multiplayer,105,6716
29,Resident Evil 4,11,11-Jan-05,96,9.2,16,"Action Adventure,Horror",1 Player,82,1596
30,The Orange Box,5,10-Oct-07,96,8.8,13,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 16 ,54,879
31,The Orange Box,13,10-Oct-07,96,9.2,13,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 32 ,34,1804
32,Batman: Arkham City,3,18-Oct-11,96,8.8,17,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,42,2773
33,Tekken 3,2,29-Apr-98,96,9.1,4,"Action,Fighting,3D",2 Player,15,660
34,Mass Effect 2,5,26-Jan-10,96,8.9,18,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,98,3503
35,The Legend of Zelda: Twilight Princess,11,11-Dec-06,96,8.9,1,"Action Adventure,Fantasy",1 Player,16,823
36,The Elder Scrolls V: Skyrim,5,11-Nov-11,96,8.6,19,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,89,3954
37,Half-Life,13,19-Nov-98,96,9,13,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Online Multiplayer,24,4321
38,Resident Evil 4,9,25-Oct-05,96,9,16,"Action Adventure,Horror",1 Player,38,1628
39,The Legend of Zelda: The Wind Waker,11,24-Mar-03,96,9,1,"Action Adventure,Fantasy",1 Player,80,1370
40,Gran Turismo,2,30-Apr-98,96,8.7,20,"Driving,Racing,GT / Street",2 Player,16,269
41,BioShock,13,21-Aug-07,96,8.6,14,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,44,4814
42,Metal Gear Solid 2: Sons of Liberty,9,12-Nov-01,96,8.8,21,"Action Adventure,Modern",1 Player,42,1545
